Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
27.0,0,1,9.0,2,2,3,4.0,0,5.0,1,8.0,1,5,0,1.0,1,20720.0
42.0,0,1,12.0,2,2,4,5.0,0,5.0,1,8.0,0,3,1,1.0,1,20785.0
28.0,1,3,9.0,3,2,3,4.0,0,5.0,1,2.0,0,5,0,2.0,1,21719.0
59.0,1,1,12.0,1,1,3,5.0,3,4.0,1,4.0,1,5,1,2.0,3,29230.0
40.0,1,3,28.0,2,2,3,5.0,1,3.0,0,5.0,1,1,0,2.0,2,24798.0
29.0,0,2,7.0,2,2,3,4.0,0,3.0,1,3.0,0,4,0,2.0,1,21384.0
35.0,1,1,15.0,2,1,3,4.0,1,5.0,1,5.0,0,5,1,1.0,2,23799.0
34.0,1,2,15.0,1,1,2,3.0,0,3.0,0,2.0,0,1,1,0.0,1,17742.0
36.0,1,1,10.0,2,2,2,4.0,1,3.0,2,2.0,0,5,1,1.0,2,20810.0
41.0,0,1,16.0,2,2,3,4.0,4,5.0,1,5.0,0,2,1,0.0,0,32181.0
46.0,0,1,6.0,3,2,2,4.0,3,5.0,1,3.0,1,1,1,1.0,3,25673.0
27.0,1,3,36.0,3,2,3,4.0,1,3.0,1,7.0,0,5,1,1.0,2,22984.0
32.0,0,3,27.0,2,2,4,2.0,0,3.0,1,2.0,0,5,1,1.0,1,21469.0
38.0,1,1,26.0,2,2,4,4.0,0,4.0,1,6.0,0,4,0,2.0,1,21700.0
34.0,0,3,29.0,3,2,4,4.0,1,4.0,1,2.0,0,1,0,1.0,2,24824.0
51.0,1,2,11.0,2,2,2,3.0,4,4.0,1,2.0,1,3,1,1.0,0,29026.0
40.0,1,1,8.0,3,1,2,4.0,0,3.0,2,1.0,1,3,1,1.0,1,17342.0
49.0,1,1,13.0,2,2,2,4.0,3,3.0,3,1.0,0,1,1,0.0,3,25965.0
48.0,1,1,16.0,2,1,4,4.0,0,3.0,2,6.0,0,3,1,1.0,1,20783.0
29.0,1,3,26.0,3,2,2,3.0,1,3.0,1,3.0,0,1,1,0.0,2,21931.0
25.0,0,3,31.0,3,2,3,4.0,0,3.0,1,2.0,0,4,1,2.0,1,21078.0
35.0,1,3,23.0,2,2,3,3.0,1,5.0,1,4.0,1,3,0,2.0,2,23966.0
30.0,1,3,17.0,3,1,3,5.0,1,4.0,1,3.0,1,5,1,1.0,2,26946.0
35.0,1,1,29.0,2,2,2,4.0,1,3.0,1,4.0,1,4,1,0.0,2,20916.0
36.0,1,1,8.0,2,1,3,3.0,0,3.0,1,5.0,0,5,1,0.0,1,17543.0
50.0,1,3,5.0,3,2,2,3.0,2,3.0,1,5.0,1,5,0,1.0,4,34331.0
44.0,1,3,32.0,3,2,4,5.0,3,3.0,1,7.0,0,4,1,2.0,3,29476.0
38.0,1,3,8.0,3,2,2,3.0,3,4.0,3,1.0,0,4,1,0.0,3,22351.0
37.0,1,1,14.0,2,2,4,4.0,0,4.0,2,4.0,0,1,0,3.0,1,20691.0
32.0,1,2,9.0,2,2,4,5.0,1,5.0,0,5.0,0,3,0,2.0,2,25088.0
42.0,0,3,17.0,2,2,3,4.0,1,3.0,3,2.0,0,2,0,2.0,2,24908.0
50.0,1,1,34.0,3,2,3,2.0,0,3.0,0,2.0,1,2,1,2.0,1,18221.0
25.0,0,1,14.0,2,1,3,4.0,0,3.0,1,3.0,1,4,0,1.0,1,21564.0
19.0,1,1,15.0,2,2,2,3.0,0,5.0,2,2.0,0,3,0,0.0,1,17552.0
41.0,1,3,17.0,3,2,4,5.0,3,4.0,1,4.0,0,4,0,1.0,3,28383.0
47.0,0,1,25.0,3,1,3,4.0,3,3.0,0,7.0,0,3,1,1.0,3,29205.0
32.0,0,3,27.0,3,1,3,4.0,1,3.0,0,3.0,0,2,1,1.0,2,25610.0
44.0,1,3,34.0,3,1,2,1.0,4,3.0,0,4.0,1,2,1,1.0,0,28320.0
51.0,1,3,15.0,3,2,3,4.0,0,4.0,0,2.0,0,2,1,1.0,1,22553.0
37.0,1,1,7.0,2,1,2,4.0,1,3.0,1,2.0,0,1,0,0.0,2,21474.0
36.0,1,1,7.0,3,2,4,5.0,0,5.0,2,3.0,0,1,0,3.0,1,21128.0
30.0,1,1,15.0,2,2,4,6.0,0,5.0,0,3.0,1,3,1,2.0,1,20797.0
43.0,1,3,21.0,3,0,4,5.0,1,3.0,3,2.0,0,3,1,1.0,2,24922.0
28.0,1,3,9.0,2,2,4,4.0,1,3.0,3,3.0,1,4,0,2.0,2,23156.0
33.0,1,1,9.0,1,2,3,5.0,1,5.0,2,6.0,0,4,0,2.0,2,20854.0
35.0,1,1,28.0,2,1,3,2.0,3,4.0,1,1.0,0,5,1,1.0,3,26996.0
43.0,0,3,32.0,2,2,3,3.0,4,3.0,1,2.0,1,1,1,0.0,0,31959.0
26.0,1,1,11.0,1,2,3,4.0,0,3.0,0,3.0,1,3,1,1.0,1,22369.0
30.0,0,1,9.0,3,2,3,5.0,0,5.0,3,2.0,0,4,1,2.0,1,22017.0
29.0,1,3,20.0,3,0,3,4.0,1,3.0,3,5.0,1,5,1,2.0,2,28532.0
37.0,0,3,7.0,3,0,3,4.0,1,3.0,3,6.0,0,2,1,2.0,2,25331.0
47.0,0,1,7.0,3,2,3,5.0,3,5.0,1,4.0,1,1,1,2.0,3,29351.0
52.0,1,1,10.0,3,1,4,4.0,4,4.0,2,5.0,0,5,0,2.0,0,32412.0
34.0,1,1,9.0,2,2,3,4.0,0,3.0,2,2.0,0,3,1,1.0,1,21178.0
33.0,0,3,16.0,3,2,3,6.0,1,3.0,1,2.0,0,1,0,2.0,2,23346.0
52.0,1,3,17.0,2,1,4,4.0,3,4.0,1,7.0,0,1,1,3.0,3,31820.0
35.0,0,1,6.0,3,2,3,3.0,0,5.0,0,5.0,0,2,0,1.0,1,17194.0
26.0,1,1,29.0,2,1,2,3.0,0,3.0,1,2.0,0,3,0,0.0,1,17886.0
53.0,1,1,15.0,3,2,3,5.0,1,4.0,0,4.0,0,2,1,2.0,2,23619.0
47.0,0,1,25.0,3,1,3,4.0,3,3.0,1,7.0,0,3,0,2.0,3,29205.0
28.0,1,1,18.0,2,2,4,4.0,0,5.0,0,2.0,0,5,1,3.0,1,20777.0
33.0,1,3,16.0,3,2,2,3.0,1,3.0,2,2.0,0,1,0,0.0,2,20487.0
31.0,0,3,26.0,3,1,2,3.0,1,3.0,1,2.0,0,1,1,1.0,2,21932.0
39.0,0,1,16.0,2,2,4,4.0,1,5.0,1,6.0,0,3,0,3.0,2,25571.0
47.0,1,3,7.0,3,1,4,4.0,3,5.0,1,3.0,0,2,1,2.0,3,29131.0
34.0,1,1,6.0,2,2,2,3.0,0,3.0,1,2.0,0,3,1,1.0,1,17691.0
28.0,1,1,18.0,2,1,3,3.0,0,3.0,0,2.0,1,4,1,0.0,1,17515.0
33.0,1,1,7.0,2,2,4,4.0,1,4.0,0,3.0,0,3,0,1.0,2,24898.0
39.0,1,3,14.0,3,1,3,3.0,1,5.0,1,3.0,1,3,0,1.0,2,24283.0
31.0,0,1,6.0,2,1,3,1.0,3,4.0,3,2.0,0,3,1,2.0,3,22446.0
30.0,1,1,16.0,2,2,2,5.0,0,3.0,3,2.0,0,2,1,1.0,1,22661.0
45.0,0,1,13.0,2,2,3,3.0,3,5.0,1,2.0,0,2,1,2.0,3,20210.0
32.0,1,1,7.0,2,2,4,5.0,0,5.0,0,3.0,0,4,0,1.0,1,20896.0
42.0,1,1,8.0,3,1,2,4.0,0,5.0,1,1.0,1,4,1,1.0,1,17593.0
52.0,1,1,11.0,2,2,3,4.0,0,3.0,1,2.0,1,1,0,1.0,1,21139.0
34.0,1,1,6.0,2,1,3,1.0,0,3.0,2,3.0,0,1,1,1.0,1,18280.0
35.0,1,1,12.0,3,1,3,5.0,3,5.0,2,4.0,0,2,0,1.0,3,30309.0
52.0,1,1,12.0,1,2,3,3.0,1,5.0,1,4.0,1,4,1,2.0,2,20577.0
45.0,0,1,9.0,3,2,3,4.0,3,3.0,2,7.0,1,1,0,2.0,3,28887.0
28.0,0,1,10.0,3,2,4,5.0,0,3.0,1,3.0,1,1,0,3.0,1,21244.0
42.0,0,1,25.0,3,2,2,2.0,0,3.0,1,7.0,1,3,1,1.0,1,17759.0
59.0,0,1,9.0,2,2,3,5.0,0,3.0,1,2.0,1,1,1,1.0,1,21058.0
37.0,1,1,13.0,2,2,3,4.0,0,3.0,1,2.0,0,5,1,2.0,1,21888.0
47.0,1,1,15.0,2,1,4,5.0,1,5.0,1,2.0,1,1,1,3.0,2,23293.0
59.0,0,1,20.0,2,0,2,3.0,3,3.0,3,1.0,1,5,1,0.0,3,25512.0
44.0,1,3,11.0,3,1,3,5.0,3,3.0,2,5.0,0,3,1,1.0,3,28909.0
21.0,0,1,16.0,2,1,2,4.0,0,3.0,2,2.0,0,4,1,0.0,1,17625.0
20.0,1,3,8.0,3,1,2,4.0,0,3.0,2,2.0,0,4,1,0.0,1,17044.0
49.0,1,1,6.0,2,2,2,3.0,4,3.0,2,5.0,0,3,1,0.0,0,30379.0
33.0,1,1,15.0,3,2,2,3.0,0,3.0,0,1.0,0,2,1,0.0,1,17781.0
30.0,1,3,7.0,3,1,3,5.0,0,3.0,1,8.0,1,1,1,2.0,1,21478.0
57.0,1,1,15.0,2,1,4,4.0,0,5.0,1,6.0,1,4,1,2.0,1,22935.0
36.0,1,1,7.0,2,1,3,2.0,0,3.0,2,5.0,0,3,0,1.0,1,21184.0
41.0,0,1,23.0,3,2,3,5.0,1,3.0,3,8.0,0,5,0,1.0,2,23772.0
32.0,0,3,8.0,2,1,3,3.0,0,5.0,1,2.0,0,3,1,0.0,1,17827.0
55.0,1,1,26.0,1,2,2,3.0,1,3.0,1,4.0,1,1,0,0.0,2,20415.0
46.0,1,1,7.0,3,1,4,4.0,0,3.0,1,5.0,0,5,0,2.0,1,20948.0
33.0,0,1,9.0,2,1,2,3.0,0,3.0,0,2.0,1,5,1,1.0,1,17909.0
22.0,1,1,17.0,2,1,3,5.0,0,5.0,2,3.0,0,3,0,2.0,1,20094.0
33.0,1,3,8.0,3,2,3,3.0,1,3.0,1,2.0,0,3,1,1.0,2,20505.0
46.0,1,3,8.0,1,1,3,5.0,4,4.0,1,4.0,1,5,1,0.0,0,31872.0
47.0,1,3,9.0,1,1,4,6.0,4,4.0,1,5.0,1,5,1,1.0,0,35550.0
31.0,0,3,6.0,2,1,2,3.0,0,4.0,2,2.0,1,5,1,1.0,1,17302.0
38.0,1,1,35.0,1,2,2,3.0,1,3.0,1,4.0,0,1,0,0.0,2,21261.0
26.0,1,3,16.0,2,2,4,5.0,0,5.0,0,5.0,0,1,1,1.0,1,23078.0
59.0,1,1,9.0,3,1,2,1.0,0,5.0,1,5.0,1,1,0,1.0,1,17670.0
32.0,1,1,12.0,1,2,3,4.0,0,3.0,0,2.0,1,4,0,2.0,1,23499.0
37.0,1,3,16.0,2,2,3,5.0,1,5.0,3,2.0,0,2,0,1.0,2,22085.0
46.0,1,3,8.0,1,1,3,5.0,4,4.0,0,4.0,1,5,1,2.0,0,31872.0
35.0,0,1,10.0,2,2,3,4.0,1,3.0,3,2.0,0,1,1,1.0,2,26434.0
36.0,1,3,17.0,3,2,3,5.0,3,5.0,1,2.0,0,5,1,2.0,3,28984.0
35.0,1,1,31.0,3,1,2,3.0,3,3.0,1,2.0,1,3,1,1.0,3,25388.0
34.0,1,1,13.0,2,0,2,3.0,3,4.0,3,1.0,0,5,0,0.0,3,26994.0
27.0,1,1,23.0,3,2,3,4.0,0,4.0,1,4.0,1,1,1,1.0,1,21051.0
41.0,1,1,25.0,2,2,2,3.0,1,5.0,1,3.0,0,1,0,0.0,2,18072.0
54.0,1,2,25.0,3,2,2,3.0,3,4.0,1,3.0,0,3,1,1.0,3,25725.0
49.0,1,1,13.0,2,2,2,3.0,3,4.0,1,4.0,0,4,0,1.0,3,25466.0
37.0,1,1,15.0,1,1,3,4.0,3,3.0,1,3.0,0,4,1,2.0,3,28774.0
53.0,1,3,12.0,3,2,2,3.0,1,3.0,1,3.0,1,5,0,1.0,2,17306.0
32.0,1,1,6.0,3,2,2,3.0,1,3.0,0,2.0,1,4,1,0.0,2,21162.0
42.0,0,1,14.0,2,2,3,3.0,2,3.0,1,2.0,0,5,1,1.0,4,33430.0
36.0,0,1,11.0,2,2,3,5.0,0,3.0,0,3.0,0,2,1,1.0,1,21054.0
50.0,1,1,14.0,2,2,3,5.0,3,3.0,2,2.0,0,1,1,1.0,3,29643.0
41.0,1,2,6.0,2,2,2,4.0,2,3.0,1,2.0,0,1,1,1.0,4,34189.0
36.0,1,3,7.0,3,2,4,4.0,3,4.0,1,3.0,0,4,0,1.0,3,25973.0
48.0,1,1,11.0,2,1,4,5.0,3,4.0,1,2.0,1,4,1,3.0,3,29011.0
31.0,1,1,14.0,2,2,3,4.0,1,3.0,1,3.0,0,5,1,2.0,2,22169.0
29.0,0,1,16.0,2,1,3,3.0,0,4.0,1,1.0,0,5,1,0.0,1,18291.0
47.0,0,3,33.0,2,1,3,1.0,1,3.0,3,5.0,1,4,0,1.0,2,21397.0
30.0,1,1,22.0,2,2,3,4.0,0,3.0,2,3.0,0,3,1,2.0,1,21018.0
46.0,1,1,15.0,2,2,4,4.0,1,3.0,1,2.0,0,3,1,1.0,2,22375.0
38.0,1,1,32.0,3,1,3,5.0,1,3.0,1,2.0,0,3,1,1.0,2,24409.0
46.0,0,3,13.0,3,0,3,5.0,3,3.0,3,8.0,0,4,1,1.0,3,27543.0
28.0,1,1,6.0,2,1,3,5.0,0,4.0,2,1.0,1,2,1,0.0,1,17216.0
38.0,1,1,28.0,2,2,4,3.0,0,5.0,0,3.0,1,3,0,3.0,1,22242.0
38.0,1,3,10.0,2,2,3,4.0,3,3.0,3,4.0,0,3,0,2.0,3,26106.0
36.0,1,3,9.0,2,2,2,4.0,3,3.0,1,2.0,1,1,1,0.0,3,25325.0
44.0,1,1,14.0,2,1,3,4.0,3,5.0,0,2.0,0,5,1,1.0,3,28663.0
31.0,1,1,15.0,2,2,2,4.0,0,4.0,2,1.0,1,3,1,0.0,1,17657.0
40.0,1,1,7.0,3,1,4,4.0,0,3.0,1,2.0,0,3,1,1.0,1,20910.0
22.0,1,1,17.0,2,1,3,5.0,0,5.0,2,3.0,0,3,1,1.0,1,20094.0
28.0,0,1,6.0,3,2,2,3.0,0,3.0,2,1.0,1,4,0,0.0,1,17154.0
39.0,0,1,13.0,2,2,4,5.0,1,3.0,1,4.0,0,4,1,2.0,2,23999.0
39.0,1,3,14.0,3,1,3,2.0,1,5.0,1,3.0,1,3,1,2.0,2,24283.0
36.0,1,1,32.0,1,2,4,5.0,3,4.0,1,5.0,0,3,1,2.0,3,29581.0
30.0,1,3,22.0,2,2,3,3.0,1,3.0,0,1.0,0,3,0,2.0,2,20301.0
42.0,1,1,14.0,1,1,3,2.0,0,3.0,1,3.0,0,3,0,1.0,1,22054.0
26.0,0,1,8.0,2,2,2,3.0,0,5.0,1,7.0,1,5,0,0.0,1,17042.0
20.0,1,1,17.0,3,1,3,4.0,0,5.0,2,2.0,1,3,1,2.0,1,17600.0
39.0,0,3,17.0,1,0,3,4.0,1,3.0,3,3.0,1,3,0,2.0,2,24344.0
33.0,1,3,31.0,3,2,2,4.0,3,4.0,3,3.0,1,5,1,0.0,3,23380.0
31.0,1,1,10.0,1,1,3,4.0,0,5.0,3,7.0,1,4,1,2.0,1,21335.0
38.0,1,1,32.0,3,1,3,5.0,1,3.0,1,2.0,0,3,0,2.0,2,24409.0
45.0,1,1,36.0,2,2,3,4.0,1,3.0,3,3.0,0,5,1,2.0,2,23219.0
28.0,1,1,16.0,3,1,3,4.0,0,4.0,2,3.0,0,3,1,1.0,1,20957.0
27.0,1,1,14.0,2,2,4,2.0,0,5.0,3,2.0,0,1,1,1.0,1,22256.0
44.0,0,3,22.0,2,2,3,5.0,1,3.0,1,5.0,0,5,1,1.0,2,25482.0
25.0,1,3,25.0,3,2,2,4.0,0,4.0,1,2.0,1,1,0,1.0,1,17413.0
33.0,1,1,8.0,3,2,3,3.0,0,3.0,2,5.0,0,3,0,2.0,1,17496.0
35.0,1,3,10.0,1,2,2,3.0,3,5.0,3,1.0,1,4,1,1.0,3,24582.0
41.0,1,3,29.0,3,2,4,5.0,1,3.0,1,4.0,1,3,1,1.0,2,25058.0
26.0,1,1,23.0,3,2,3,5.0,0,3.0,1,2.0,0,3,0,2.0,1,17305.0
39.0,0,1,19.0,2,2,3,5.0,1,5.0,1,4.0,0,5,1,1.0,2,24966.0
30.0,1,1,14.0,2,1,3,1.0,3,5.0,1,1.0,1,1,0,2.0,3,26416.0
45.0,0,1,31.0,3,2,3,6.0,0,3.0,3,4.0,0,3,0,2.0,1,22386.0
51.0,1,1,17.0,1,0,2,4.0,4,4.0,3,4.0,0,1,0,1.0,0,28142.0
50.0,0,1,6.0,2,1,3,3.0,2,4.0,1,4.0,1,1,0,2.0,4,33172.0
34.0,1,1,25.0,2,1,2,4.0,0,3.0,1,2.0,0,4,1,1.0,1,17929.0
27.0,1,1,13.0,3,1,2,4.0,1,5.0,3,1.0,0,3,1,0.0,2,21811.0
46.0,0,1,13.0,3,1,1,3.0,1,3.0,1,3.0,0,5,1,0.0,2,20258.0
29.0,1,3,33.0,3,1,2,3.0,3,3.0,0,2.0,0,3,1,1.0,3,22639.0
21.0,1,1,18.0,3,1,4,5.0,0,5.0,3,3.0,1,3,0,2.0,1,21278.0
32.0,1,1,9.0,3,1,3,3.0,1,5.0,0,2.0,0,2,1,1.0,2,21725.0
40.0,0,3,34.0,2,2,2,5.0,3,5.0,1,4.0,0,5,0,1.0,3,25932.0
22.0,1,1,25.0,2,1,4,4.0,0,3.0,3,3.0,0,3,1,2.0,1,21371.0
50.0,0,1,8.0,3,1,1,3.0,4,5.0,0,3.0,0,3,1,0.0,0,32856.0
23.0,1,1,14.0,2,2,4,4.0,0,4.0,2,3.0,1,3,1,1.0,1,21150.0
53.0,1,1,6.0,2,2,3,4.0,3,4.0,2,2.0,0,3,1,2.0,3,29123.0
54.0,1,1,23.0,1,1,2,3.0,3,3.0,1,1.0,0,5,0,0.0,3,25739.0
28.0,1,1,16.0,3,1,5,4.0,0,4.0,2,3.0,0,3,0,2.0,1,20957.0
18.0,1,3,15.0,3,2,2,3.0,0,3.0,2,2.0,0,5,0,1.0,1,16611.0
36.0,0,1,29.0,3,2,2,1.0,1,3.0,1,5.0,0,3,0,0.0,2,17571.0
27.0,0,1,9.0,3,2,2,3.0,0,3.0,0,2.0,0,2,1,0.0,1,16706.0
36.0,1,1,13.0,2,2,3,6.0,1,3.0,3,3.0,0,5,1,1.0,2,25324.0
46.0,1,3,9.0,3,2,2,3.0,4,3.0,1,4.0,0,1,1,0.0,0,32465.0
36.0,1,3,25.0,3,1,3,4.0,1,3.0,1,3.0,0,4,1,2.0,2,23279.0
31.0,1,3,22.0,3,2,3,3.0,3,3.0,1,3.0,0,5,1,0.0,3,23161.0
55.0,1,3,8.0,3,2,2,3.0,1,3.0,2,5.0,0,1,1,0.0,2,20160.0
52.0,0,1,7.0,3,0,2,5.0,3,5.0,3,5.0,0,2,1,1.0,3,26162.0
35.0,1,1,13.0,2,1,3,4.0,1,3.0,3,3.0,0,3,1,1.0,2,23487.0
41.0,1,3,9.0,3,1,4,4.0,1,4.0,1,5.0,0,3,1,2.0,2,24355.0
34.0,1,1,35.0,3,2,2,3.0,1,3.0,0,5.0,0,3,0,0.0,2,20429.0
29.0,1,3,33.0,2,2,3,5.0,1,5.0,0,3.0,0,4,1,1.0,2,23402.0
34.0,1,1,7.0,2,0,3,5.0,1,3.0,3,2.0,0,4,0,1.0,2,25627.0
41.0,0,3,16.0,3,2,2,5.0,1,4.0,2,2.0,0,1,1,0.0,2,21151.0
41.0,1,3,23.0,3,2,4,4.0,3,3.0,1,4.0,0,5,0,2.0,3,22222.0
49.0,0,1,16.0,2,1,2,3.0,2,5.0,2,1.0,1,3,0,0.0,4,33665.0
40.0,0,1,14.0,3,2,2,4.0,3,4.0,1,3.0,0,1,1,1.0,3,28757.0
29.0,1,1,15.0,2,2,3,1.0,0,3.0,1,7.0,0,5,1,0.0,1,17451.0
29.0,0,1,8.0,3,2,2,4.0,0,5.0,2,1.0,0,4,1,1.0,1,18339.0
54.0,0,3,9.0,3,1,3,5.0,3,4.0,1,4.0,0,1,1,1.0,3,26203.0
38.0,1,1,21.0,2,1,4,4.0,0,5.0,1,3.0,0,4,1,1.0,1,21712.0
21.0,0,1,13.0,2,1,4,5.0,0,3.0,3,3.0,1,2,1,2.0,1,21604.0
35.0,1,1,9.0,3,1,3,5.0,0,5.0,3,3.0,0,1,1,1.0,1,23059.0
30.0,0,1,21.0,2,0,3,4.0,3,3.0,3,2.0,1,5,1,1.0,3,26231.0
32.0,0,3,14.0,3,1,4,4.0,3,5.0,1,4.0,0,1,1,3.0,3,28315.0
50.0,1,3,6.0,3,1,3,3.0,2,3.0,1,4.0,0,1,1,0.0,4,34517.0
38.0,0,1,8.0,2,2,2,3.0,0,3.0,0,2.0,1,5,1,1.0,1,16702.0
31.0,1,3,23.0,2,2,4,4.0,1,3.0,0,2.0,0,3,0,3.0,2,23979.0
57.0,1,1,30.0,2,2,2,1.0,3,3.0,1,4.0,1,4,1,0.0,3,24439.0
25.0,1,1,9.0,2,2,2,3.0,0,5.0,1,5.0,0,5,1,0.0,1,16118.0
19.0,1,1,31.0,2,1,2,1.0,0,3.0,2,2.0,1,5,1,0.0,1,17994.0
37.0,0,1,18.0,2,2,4,5.0,1,4.0,3,3.0,0,4,1,2.0,2,25177.0
44.0,1,1,9.0,2,2,2,3.0,2,3.0,1,5.0,1,1,0,1.0,4,34513.0
